song_title,artist_name,song_duration_ms,artist_natural_key,song_natural_key,popularity,time_range,year,month,hour_of_day,day_of_week
แถวนี้อันตราย,tobii,192012,2Q1Qzlhorq7idKOcZwsGeg,795UpogjOjHfZUOGGCSHkf,0,medium_term,2026,5,22,Monday
beast,mia martina,189960,2Mo8dJY6EXvu41mbsJ2vOC,16FtzviEvQmtc7qYE1U6B0,0,medium_term,2026,5,22,Monday
beautiful mistakes (feat. megan thee stallion),maroon 5,227395,04gDigrS5kc9YWfZHwBETP,5zFglKYiknIxks8geR8rcL,0,medium_term,2026,5,22,Monday
do re mi,blackbear,212027,2cFrymmkijnjDg9SS92EPM,6Se3x9ANMLv0dCDsjGmEjh,0,medium_term,2026,5,22,Monday
not my fault (with megan thee stallion),reneé rapp,170528,2hUYKu1x0UZQXvzCmggvSn,18dlAFKaajLjRgBNZZ4ThU,0,medium_term,2026,5,22,Monday
u was at the club (bottoms up),the boyboy west coast,196400,5CsBiyjBzZ8ZWwEpcMg5fy,4CIMIZRcwllSonMlzr5wd2,0,medium_term,2026,5,22,Monday
근데 예뻐서 어떡해,melodywalk,209919,1kDsdIJmqpCojI5rzYpLbh,2RQkloalhgbxZhO003HKc3,0,medium_term,2026,5,22,Monday
bibi vengeance,bibi,165135,6UbmqUEgjLA6jAcXwbM1Z9,0nS3lmnyaFyXuGVZp5XCqj,0,medium_term,2026,5,22,Monday
wag ipagsabi,dreycruz,208375,6Eyw578LyVy9z7fDNhxWCf,6XBz5vxIzEWFRLpxWYGEpV,0,medium_term,2026,5,22,Monday
don't even text,tsumyoki,179644,19jx3wc1iRshvEKMvzZc1X,0pMACt1jSBlH8mKdaE1TSv,0,medium_term,2026,5,22,Monday
all i saw was you (feat. jessica baio),johnny huynh,185506,7qX6R9NU7sWD66KLlYKnju,4wheipzDTRRuxDeTfjeeDE,0,medium_term,2026,5,22,Monday
fml,arizona zervas,223000,0vRvGUQVUjytro0xpb26bs,6lruHh1jF7ezgbLv72xYmf,0,medium_term,2026,5,22,Monday
good goodbye,hwasa,223000,7bmYpVgQub656uNTu6qGNQ,3cLXrotzCjYCkN73PewALM,0,medium_term,2026,5,22,Monday
i like that,bazzi,158083,4GvEc3ANtPPjt1ZJllr5Zl,0kWQn0wLok1lawHAkGSMW9,0,medium_term,2026,5,22,Monday
the weekend (with 347aidan) - remix,88rising,167661,1AhjOkOLkbHUfcHDSErXQs,1OcN0aS9F6PwmyontoLFl9,0,medium_term,2026,5,22,Monday
she's all i wanna be,tate mcrae,207123,45dkTj5sMRSjrmBSBeiHym,7l9IqDtVWJurTvkQHq1BGh,0,medium_term,2026,5,22,Monday
roz,ritviz,219240,72beYOeW2sb2yfcS4JsRvb,1rDQJd8kzwBRXeoTtojkQn,0,medium_term,2026,5,22,Monday
neva play (feat. rm of bts),megan thee stallion,157585,181bsRPaVXVlUKXrxwZfHK,4vEE3lzBLXBN3RxyGtZNir,0,medium_term,2026,5,22,Monday
gata only,floyymenor,222000,7CvTknweLr9feJtRGrpDBy,2esZG2XFtuoWWA9AfDvSxy,0,medium_term,2026,5,22,Monday
normal,bts,181649,3Nrfpe0tUJi4K4DXYWgMUX,4B4Q7zfd0aHcuhQBfCRnH5,0,medium_term,2026,5,22,Monday
love me not (feat. rex orange county),ravyn lenae,188198,5RTLRtXjbXI2lSXc6jxlAz,3ld1FzyNgpZwGn4h9cOXrq,0,medium_term,2026,5,22,Monday
merry go round,bts,229855,3Nrfpe0tUJi4K4DXYWgMUX,3VegC0PZiHjGxb80DER8XU,0,medium_term,2026,5,22,Monday
superglue,role model,200503,1dy5WNgIKQU6ezkpZs4y8z,43C2N2FgjrKfORvmhs9vJ8,0,medium_term,2026,5,22,Monday
i think they call this love,elliot james reay,193573,2PI9HrzzMTN7E5poWl4QX5,4oHQ8n9OKQ3599e8noCrDX,0,medium_term,2026,5,22,Monday
heartbroken (feat. jessie murph & polo g),diplo,204325,5fMUXHkw8R8eOP2RNVYEZX,60eA3QITW5G2D7Woc11uKc,0,medium_term,2026,5,22,Monday
no te vayas,alice wonder,203232,0SquRSkIJbzPqCUxG2EZMi,62RPPNZJRYzLyc7QZ8sYCn,0,medium_term,2026,5,22,Monday
zulfein,mehul mahesh,198831,2kyOjoPL3gf3VnKeje7NoD,6GK02ZOmn7hzEOWVc4YfwC,0,medium_term,2026,5,22,Monday
when you're gone,shawn mendes,172266,7n2wHs1TKAczGzO7Dd2rGr,0U1W2LZVUX7qTm7dDpqxh6,0,medium_term,2026,5,22,Monday
girls,the kid laroi,152979,2tIP7SsRs7vjIcLrU85W8J,6WhwHYd38f4ZB2CefpDgLo,0,medium_term,2026,5,22,Monday
firestone,kygo,271634,23fqKkggKUBHNkbKtXEls4,1I8tHoNBFTuoJAlh4hfVVE,0,medium_term,2026,5,22,Monday
poppin' star,tomorrow x together,193373,0ghlgldX5Dd6720Q3qFyQB,1i0bQAt6igTir6azhpn2Ri,0,medium_term,2026,5,22,Monday
phone numbers,dominic fike,146826,6USv9qhCn6zfxlBQIYJ9qs,3f9Mzvd3URfbbIJBX4pz9Z,0,medium_term,2026,5,22,Monday
why,bazzi,148259,4GvEc3ANtPPjt1ZJllr5Zl,7lozLnUfzcgEpMMVQI7yhA,0,medium_term,2026,5,22,Monday
scott and zelda,bibi,193040,6UbmqUEgjLA6jAcXwbM1Z9,1MJyiTlVdSLAjI9aclZ3hL,0,medium_term,2026,5,22,Monday
ktmbk,zaeden,154434,5lMNphVhMLvhFmTWiKiLA2,4R8VBRb5nKbEfi1EIA2B7p,0,medium_term,2026,5,22,Monday
"pavazha malli - from ""think indie""",sai abhyankkar,252569,5jJrJU7VVmxQQLcLAmmxXc,4yur1GSBfuS1VADyUYocqd,0,medium_term,2026,5,22,Monday
satisfya,imran khan,180797,24BYRlsS8uIO4jA71mJ4Js,3WD9p2gr6banKwswAJrIkB,0,medium_term,2026,5,22,Monday
how you get the girl (taylor's version),taylor swift,247533,06HL4z0CvFAxyc27GXpf02,75W3SngKzTuoQ94uLf3y82,0,medium_term,2026,5,22,Monday
dákiti,bad bunny,205090,4q3ewBCX7sLwd24euuV69X,4MzXwWMhyBbmu6hOcLVD49,0,medium_term,2026,5,22,Monday
con calma,daddy yankee,193226,4VMYDCV2IEDYJArk749S6m,5w9c2J52mkdntKOmRLeM2m,0,medium_term,2026,5,22,Monday
"yaanji - from ""vikram vedha""",sam c.s.,270375,5VAyiDhBinVfc6RM5RKnLa,6EB454nVg2u6sbeCvWAPej,0,medium_term,2026,5,22,Monday
this feeling,the chainsmokers,197946,69GGBxA162lTqCwzJG5jLp,4NBTZtAt1F13VvlSKe6KTl,0,medium_term,2026,5,22,Monday
btbt,b.i,219549,0UntV1Bw2hk3fbRrm9eMP6,4XcxgZSriCYamtIA7BgT7V,0,medium_term,2026,5,22,Monday
anyayo,aneesh,121914,2K1yi9M4TJ3cEEO6hFG1z2,5yCOc1MOoekBjy56pCYZHS,0,medium_term,2026,5,22,Monday
swim,chase atlantic,228786,7cYEt1pqMgXJdq00hAwVpT,3M0lSi5WW79CXQamgSBIjx,0,medium_term,2026,5,22,Monday
love robbery,kalin and myles,183093,2BL5VxhQadpc4v2VlZyKY5,4tVycdWXDOb0j2A9NQLmjl,0,medium_term,2026,5,22,Monday
savage love (laxed – siren beat) [bts remix],jawsh 685,184905,56mfhUDKa1vec6rSLZV5Eg,4TgxFMOn5yoESW6zCidCXL,0,medium_term,2026,5,22,Monday
khwab dekhe sexy lady,pritam,279356,1wRPtKGflJrBx9BmLsSwlU,7GE3LwWzboPaTN0TlDcPs1,0,medium_term,2026,5,22,Monday
just right,got7,222398,6nfDaffa50mKtEOwR8g4df,16dL6zhP5MLxEwX8sbqCOa,0,medium_term,2026,5,22,Monday
i'll do it,heidi montag,210346,5XLBtYR2VrpkqXdlvNnFHG,3RpCFxfsccNPDTWd3ALMaB,0,medium_term,2026,5,22,Monday
